,Anno,Gennaio_mean,Gennaio_std,Aprile_mean,Aprile_std
0,2015,102.49701434140017,22.290326159944726,79.90297765966112,25.467548689794846
1,2016,98.49959906843733,31.79373578469822,67.80270370330439,12.677398289081724
2,2017,106.76725701033101,25.478398384202922,72.52448066448801,18.64257299113648
3,2018,81.95181056293485,15.974132154612125,71.7086727994228,16.255814527989948
4,2019,89.59524378030783,18.127665427114064,64.43730392156863,20.75766313300556
5,2020,96.24435747417246,13.780657326620757,43.87733660130719,16.821263589138454
6,2021,73.77760752688172,13.888062172245528,57.13591067538127,15.509004499805156
