,index,Valore_mean_max,Valore_mean_mean,Valore_mean_std,Data
0,0,75.61708794677546,45.45298038766789,30.360625292863748,2020-01-01
1,1,86.009375,57.93120169760796,32.40650591293152,2020-01-02
2,2,71.41924603174604,52.181673465423465,15.663367611780478,2020-01-03
3,3,79.08740079365079,62.985492584640625,25.73312127283347,2020-01-04
4,4,86.49407190032191,53.75020248848374,35.7431623284446,2020-01-05
5,5,86.53164682539682,52.20059622668997,35.433862834165616,2020-01-06
6,6,80.24246031746031,47.60958333333333,29.001101786497667,2020-01-07
7,7,82.8718253968254,48.30742446789322,25.071884671733176,2020-01-08
8,8,83.09980158730158,60.499532018499885,25.06319324776536,2020-01-09
9,9,87.01970486111111,41.81924851190476,28.372803494305423,2020-01-10
10,10,91.13133503401362,64.18818425621997,32.42801035252619,2020-01-11
11,11,79.1009548611111,60.0912953539516,23.91893252703297,2020-01-12
12,12,81.10704365079366,70.48091418997669,12.882279329102268,2020-01-13
13,13,92.13498263888889,64.67774217962514,24.432876521038786,2020-01-14
14,14,88.34930555555556,51.01236331376957,32.98094399270637,2020-01-15
15,15,93.98174603174603,70.43231037414967,23.577124005129086,2020-01-16
16,16,82.12890625,57.842043650793656,23.734063244360183,2020-01-17
17,17,89.9811507936508,74.4173137452825,15.331682002638539,2020-01-18
18,18,94.43323412698412,66.20031966102168,26.606039959759876,2020-01-19
19,19,91.92890625,69.44943552974803,33.03031566606636,2020-01-20
20,20,97.91092865467866,68.33365650668776,37.786830998765595,2020-01-21
21,21,95.80084915084915,71.85340048449203,37.15433662896986,2020-01-22
22,22,91.1060515873016,67.77987150002775,31.17377747679253,2020-01-23
23,23,89.50406746031744,82.03604138916639,11.139841107550145,2020-01-24
24,24,100.95486111111111,67.87240957714371,40.59013060724718,2020-01-25
25,25,113.3543179043179,79.19998064435563,38.5908786493533,2020-01-26
26,26,83.5519200417638,56.16483636326507,29.74370050169455,2020-01-27
27,27,105.47309027777777,67.15067708333333,30.877494037262842,2020-01-28
28,28,108.995325247669,86.76261467625164,22.020067736927768,2020-01-29
29,29,89.92960069444445,55.42126240079365,26.411298012908166,2020-01-30
30,30,99.38164682539683,51.94094003219003,41.110410877365204,2020-01-31
31,31,49.77843892218892,22.031863316082063,16.344752028594005,2020-02-01
32,32,83.65316567113443,44.77130140692641,29.489999202735433,2020-02-02
33,33,95.21892361111111,50.522496607352245,37.285026006580324,2020-02-03
34,34,115.71380208333332,72.54805734196358,46.53197025889778,2020-02-04
35,35,127.88776041666667,58.81967553280053,58.27318316870407,2020-02-05
36,36,124.74756944444444,64.53267201548451,52.0230574521027,2020-02-06
37,37,124.14913194444445,73.75013524669774,41.23201675419682,2020-02-07
38,38,126.20841029040123,88.34747898684593,40.17605068647797,2020-02-08
39,39,104.1782986111111,71.73446987040737,25.225454937850234,2020-02-09
40,40,104.24956154956156,40.251329963217835,38.2696816553588,2020-02-10
41,41,134.39479166666666,105.46775599400601,45.97124356690395,2020-02-11
42,42,142.60347222222222,85.64795489232989,54.368396985149076,2020-02-12
43,43,135.18303016428015,101.85650881803693,39.19128935202708,2020-02-13
44,44,146.04474206349207,133.7198682220557,12.117582647376954,2020-02-14
45,45,136.67977430555555,128.17516053391054,10.311344752986015,2020-02-15
46,46,139.06234113109113,105.48231324231324,33.215932368546554,2020-02-16
47,47,141.85980902777777,89.64755987068489,54.334121996996416,2020-02-17
48,48,142.93430944055945,93.58483908452658,43.902405412888946,2020-02-18
49,49,143.41165197649573,87.14475265805623,44.659683085199134,2020-02-19
50,50,133.97682291666666,99.46876872345182,39.588211987492585,2020-02-20
51,51,136.4217013888889,116.7440959324322,19.896355568628042,2020-02-21
52,52,154.6950663349917,104.49685815359321,49.60374988386307,2020-02-22
53,53,131.37940531690532,79.46390523697741,47.03733325239103,2020-02-23
54,54,158.18420138888888,117.09323672079988,53.180929147048985,2020-02-24
55,55,158.47864583333333,109.8684375,64.11217513888113,2020-02-25
56,56,154.12837301587302,146.3394271717621,9.404436898799876,2020-02-26
57,57,160.1513888888889,132.0323759920635,23.476736011936932,2020-02-27
58,58,179.44592013888888,128.39857122044623,69.08394816710795,2020-02-28
59,59,39.95078125,39.95078125,,2020-02-29
60,60,180.16363497613497,115.70594698386512,78.47063412773186,2020-03-01
61,61,173.21400682650685,99.86451012529139,76.91770723360484,2020-03-02
62,62,161.37239583333334,83.11471582123211,56.18147074332654,2020-03-03
63,63,182.1691840277778,87.84697273212899,66.44595295479732,2020-03-04
64,64,182.13517505088808,122.08031889643026,59.087726194542995,2020-03-05
65,65,127.77369791666666,87.75041455072704,32.42256447631573,2020-03-06
66,66,195.38238566988568,134.7510841415529,74.58385382722884,2020-03-07
67,67,187.25545634920633,178.3686782488345,9.193386962732045,2020-03-08
68,68,185.5426198801199,149.655334491897,48.600703659422926,2020-03-09
69,69,207.3770881895882,140.7943975642413,69.82446594781177,2020-03-10
70,70,196.3412326388889,117.83067419270544,82.88773365569136,2020-03-11
71,71,204.1827380952381,138.50597855973916,65.97586848393259,2020-03-12
72,72,194.80307539682536,179.2672519147519,18.274254372309933,2020-03-13
73,73,202.46785714285716,161.62661166029784,73.37688694781404,2020-03-14
74,74,211.71557539682541,155.3009871031746,72.93879266166964,2020-03-15
75,75,221.0143849206349,201.56635416666666,14.706222119125945,2020-03-16
76,76,200.27317101301477,133.62583974965384,85.73807050241712,2020-03-17
77,77,226.24994718822845,157.64037740037742,74.0169346976246,2020-03-18
78,78,217.22786458333334,162.521778984904,71.16406524173433,2020-03-19
