,Data,valore_mean,valore_std
0,2020-01-01,75.61708794677546,20.409292277309845
1,2020-01-02,86.009375,13.619913058909479
2,2020-01-03,71.41924603174604,14.579791033067018
3,2020-01-04,79.08740079365079,5.21836541023817
4,2020-01-05,86.49407190032191,4.94462934992737
5,2020-01-06,86.53164682539682,21.280018256547145
6,2020-01-07,80.24246031746031,19.178809473067737
7,2020-01-08,82.8718253968254,20.00587499922908
8,2020-01-09,83.09980158730158,23.125092966980407
9,2020-01-10,87.01970486111111,16.585799047495662
10,2020-01-11,91.13133503401362,15.231206922211499
11,2020-01-12,79.1009548611111,9.137018393467375
12,2020-01-13,81.10704365079366,31.860367356804353
13,2020-01-14,92.13498263888889,31.703368040774745
14,2020-01-15,88.34930555555556,4.854165980788181
15,2020-01-16,93.98174603174603,18.471926561936503
16,2020-01-17,82.12890625,14.49546704052536
17,2020-01-18,89.9811507936508,24.984982624663505
18,2020-01-19,94.43323412698412,9.033080459136025
19,2020-01-20,91.92890625,11.825255653638356
20,2020-01-21,97.91092865467866,14.274411925975718
21,2020-01-22,95.80084915084915,21.430301991373177
22,2020-01-23,91.1060515873016,4.940761053893083
23,2020-01-24,89.50406746031744,15.73438129175159
24,2020-01-25,100.95486111111111,6.299965750095866
25,2020-01-26,113.3543179043179,6.177420016045287
26,2020-01-27,83.5519200417638,11.243723017953613
27,2020-01-28,105.47309027777777,21.320572686461347
28,2020-01-29,108.995325247669,26.085625379566522
29,2020-01-30,89.92960069444445,27.76812554482804
30,2020-01-31,99.38164682539683,15.9094135829066
31,2020-02-01,49.77843892218892,6.7493616529111975
32,2020-02-02,83.65316567113443,25.919524922880147
33,2020-02-03,95.21892361111111,18.16305436495643
34,2020-02-04,115.71380208333332,7.6961878692346755
35,2020-02-05,127.88776041666667,4.512388771894373
36,2020-02-06,124.74756944444444,9.710046557898798
37,2020-02-07,124.14913194444445,13.824166894215137
38,2020-02-08,126.20841029040123,13.653603742839826
39,2020-02-09,104.1782986111111,16.628543280740136
40,2020-02-10,104.24956154956156,13.335712091215811
41,2020-02-11,134.39479166666666,10.578959086392643
42,2020-02-12,142.60347222222222,9.134086329927143
43,2020-02-13,135.18303016428015,7.849116893291639
44,2020-02-14,146.04474206349207,13.124524888871756
45,2020-02-15,136.67977430555555,9.412002097192174
46,2020-02-16,139.06234113109113,19.60843246389235
47,2020-02-17,141.85980902777777,13.20250772818239
48,2020-02-18,142.93430944055945,40.53708324446013
49,2020-02-19,143.41165197649573,20.519603088623526
50,2020-02-20,133.97682291666666,18.195753329848806
51,2020-02-21,136.4217013888889,13.262998034001315
52,2020-02-22,154.6950663349917,12.574889787589003
53,2020-02-23,131.37940531690532,32.17900686508485
54,2020-02-24,158.18420138888888,11.601631014344987
55,2020-02-25,158.47864583333333,8.999095305150254
56,2020-02-26,154.12837301587302,15.294437647204433
57,2020-02-27,160.1513888888889,27.68752336793331
58,2020-02-28,179.44592013888888,12.295248080366779
59,2020-02-29,39.95078125,6.63904117757919
60,2020-03-01,180.16363497613497,15.919356087870948
61,2020-03-02,173.21400682650685,7.015058954389201
62,2020-03-03,161.37239583333334,14.24020064633774
63,2020-03-04,182.1691840277778,14.464176839897506
64,2020-03-05,182.13517505088808,21.07930958714278
65,2020-03-06,127.77369791666666,29.740192539645413
66,2020-03-07,195.38238566988568,6.795158613087341
67,2020-03-08,187.25545634920633,10.993929757686212
68,2020-03-09,185.5426198801199,13.677656533290698
69,2020-03-10,207.3770881895882,23.374210536955513
70,2020-03-11,196.3412326388889,13.495529637027932
71,2020-03-12,204.1827380952381,19.135987905391392
72,2020-03-13,194.80307539682536,21.03909801377544
73,2020-03-14,202.46785714285716,10.64791241855784
74,2020-03-15,211.71557539682541,35.07513918628284
75,2020-03-16,221.0143849206349,9.112116089600942
76,2020-03-17,200.27317101301477,16.232245554269426
77,2020-03-18,226.24994718822845,12.669306406894394
78,2020-03-19,217.22786458333334,25.149293212282007
79,2020-03-20,214.764898989899,18.61017323373318
80,2020-03-21,225.03734824203576,18.10040252586964
81,2020-03-22,226.00526311154613,24.37846692349198
82,2020-03-23,229.20992063492062,22.637363119855742
83,2020-03-24,231.8435218586187,16.16465669835827
84,2020-03-25,229.12326388888889,19.453248828973713
85,2020-03-26,233.98159540112667,36.49494660532337
86,2020-03-27,233.51717414529912,19.969985781457776
87,2020-03-28,235.12390873015872,29.45647579646826
88,2020-03-29,234.20961463223787,31.571797038916877
89,2020-03-30,242.6387116099374,30.571796172798365
90,2020-03-31,245.4235855131762,23.744629888961267
91,2020-04-01,264.29255952380953,28.074048953168496
92,2020-04-02,247.27636217948717,23.203266116179837
93,2020-04-03,250.64472631241998,16.24929547832871
94,2020-04-04,251.846626984127,13.530365561856781
95,2020-04-05,250.4940195221445,38.221987928743026
96,2020-04-06,256.2675276112776,16.679420619232765
97,2020-04-07,274.7875541125541,17.08660833875401
98,2020-04-08,271.0940476190476,15.386455497378778
99,2020-04-09,257.45678539354816,20.974099681357867
100,2020-04-10,267.33283799533797,16.471832673255435
101,2020-04-11,269.1254291715229,9.510007400581362
102,2020-04-12,265.25744463869466,19.85343862364394
103,2020-04-13,258.06118796109996,26.338530729561004
104,2020-04-14,288.6539718094406,28.96300199588352
105,2020-04-15,273.8085670405983,27.361117610301246
106,2020-04-16,271.4989676989677,31.801554530567362
107,2020-04-17,275.66477897102897,15.844656814166997
108,2020-04-18,268.20885572760574,31.783511011434143
109,2020-04-19,273.2238095238095,29.41114554400471
110,2020-04-20,299.63024116923765,12.296518644821854
