,month,day,press_mean,press_std,year,Data
0,1,1,1016.0,8.222165164967185,2020,2020-01-01
1,1,2,1012.4666666666667,8.964299563639491,2020,2020-01-02
2,1,3,1011.0333333333333,9.312285791719788,2020,2020-01-03
3,1,4,1007.5333333333333,11.737234200043305,2020,2020-01-04
4,1,5,1007.65,10.39956729869088,2020,2020-01-05
5,1,6,1011.1,12.226201372462333,2020,2020-01-06
6,1,7,1014.35,10.9657193106517,2020,2020-01-07
7,1,8,1013.6999999999999,8.98354050472307,2020,2020-01-08
8,1,9,1011.1999999999999,9.93337807596189,2020,2020-01-09
9,1,10,1006.5,7.013914741426466,2020,2020-01-10
10,1,11,1010.0500000000001,11.64933474495437,2020,2020-01-11
11,1,12,1011.0,9.840934914935671,2020,2020-01-12
12,1,13,1008.4333333333334,9.373508770288048,2020,2020-01-13
13,1,14,1008.15,9.259319629432847,2020,2020-01-14
14,1,15,1012.0,7.642250977297224,2020,2020-01-15
15,1,16,1012.0166666666668,7.601162191840536,2020,2020-01-16
16,1,17,1009.9833333333332,5.817702868544161,2020,2020-01-17
17,1,18,1013.7833333333333,5.4105144548985775,2020,2020-01-18
18,1,19,1015.3000000000001,8.15180961504865,2020,2020-01-19
19,1,20,1017.4666666666667,10.930995685053858,2020,2020-01-20
20,1,21,1016.8166666666667,12.401034903050114,2020,2020-01-21
21,1,22,1013.9499999999999,12.551454099027744,2020,2020-01-22
22,1,23,1010.8000000000001,16.065988920698274,2020,2020-01-23
23,1,24,1012.15,14.863613288833932,2020,2020-01-24
24,1,25,1012.75,10.39244918197823,2020,2020-01-25
25,1,26,1014.5166666666668,5.862905991627933,2020,2020-01-26
26,1,27,1014.25,9.63156269771421,2020,2020-01-27
27,1,28,1011.0333333333333,13.467244212037853,2020,2020-01-28
28,1,29,1011.0333333333333,11.278415964428106,2020,2020-01-29
29,1,30,1009.6333333333333,11.862321301780192,2020,2020-01-30
30,1,31,1005.8833333333333,9.877938381396545,2020,2020-01-31
31,2,1,1004.3666666666667,9.058403096940767,2020,2020-02-01
32,2,2,1006.0500000000001,9.13252429506763,2020,2020-02-02
